uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"0b03c65c-247f-4ff3-9fd6-19d43de623ea","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","Fe",1.9820,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"30e08105-4c88-46e7-98b6-916e0a5a1a5c","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","TDS",62.4000,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"d1e9b09a-82c7-490a-9aca-bf820fc182b2","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","Si",5.9600,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"30580732-ff23-4ae7-b405-ebef56f39905","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","NO2 - N",0.0110,"milligramsPerLiter",,"BDL",5.4,,0,"formatChange|legacyData","GOOD"
"b5b8f5ba-9973-4dfc-9577-13262c67bb5b","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","Mn",0.0470,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"4e5d11f8-3c42-4097-9b8e-ff3eed5003fa","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","Na",1.0650,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"6cb781e8-a19f-44c3-9fac-da3be4b89fbb","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","Br",0.0050,"milligramsPerLiter",,"BDL",5.4,,0,"formatChange|legacyData","GOOD"
"57794622-c477-407c-91c7-c5b1b1b3f9f4","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","Ca",11.6860,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"92b85de1-6a5c-4e95-910e-c01010e299bf","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","SO4",8.3400,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"f212c670-a2bc-4b8a-af89-3b47e9d95193","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","K",0.0010,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
