uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,elevation,elevationUncertainty,geodeticDatum,altLocation,altLatitude,altLongitude,altCoordinateUncertainty,altGeodeticDatum,collectDate,aquaticSiteType,samplingImpractical,waterChemSamplesCollected,parentSampleID,eventID,samplerType,dissolvedOxygen,dissolvedOxygenSaturation,specificConductance,waterTemp,swcSamplingProtocolVersion,lowerSegmentDepth,upperSegmentDepth,maxDepth,lakeSampleDepth1,lakeSampleDepth2,aCollectedBy,bCollectedBy,remarks,fieldDataQF
"7e1c4d39-c7c0-4fe3-af02-84ad043da680","D11","PRIN","PRIN.AOS.S2",33.378430,-97.781508,1.1,,251.1,1.0,"WGS84",,,,,,"2023-04-04T14:00Z","stream","logistical",,"PRIN.SS.20230404","PRIN.20230404",,,,,,"NEON.DOC.002905vJ",,,,,,"0000-0002-8085-4297",,"Cancelled to prioritize fish sampling",
"390ec4f4-47e2-47c9-ac3d-6a1052555566","D11","PRIN","PRIN.AOS.S2",33.378430,-97.781508,1.1,10.0,251.1,1.0,"WGS84",,,,,,"2023-04-24T20:25Z","stream","logistical",,"PRIN.SS.20230424","PRIN.20230424",,,,,,"NEON.DOC.002905vJ",,,,,,"0000-0003-1438-9996","0000-0003-1438-9996","Personnel not available",
"87c29962-c20c-4f76-84b3-4cb068426138","D11","PRIN","PRIN.AOS.S2",33.378430,-97.781508,1.1,10.0,251.1,1.0,"WGS84",,,,,,"2023-04-25T20:27Z","stream","logistical",,"PRIN.SS.20230425","PRIN.20230425",,,,,,"NEON.DOC.002905vJ",,,,,,"0000-0003-1438-9996","0000-0003-1438-9996","Personnel not available",
"e35499e7-0016-4c9c-ba9c-af552a883ca1","D11","PRIN","PRIN.AOS.S2",33.378430,-97.781508,1.1,10.0,251.1,1.0,"WGS84",,,,,,"2023-04-26T14:20Z","stream",,"Y","PRIN.SS.20230426","PRIN.20230426","Grab",6.50,65.00,815.00,15.20,"NEON.DOC.002905vJ",,,,,,"0000-0003-1438-9996","0000-0003-1438-9996","pH meter broken",
"d27f39ce-1a95-47b0-8cf2-06d97384565d","D11","PRIN","PRIN.AOS.S2",33.378430,-97.781508,1.1,10.0,251.1,1.0,"WGS84",,,,,,"2023-04-27T14:52Z","stream",,"Y","PRIN.SS.20230427","PRIN.20230427","Grab",8.03,82.20,789.00,15.50,"NEON.DOC.002905vJ",,,,,,"0009-0001-0347-4936","0000-0003-1377-960X","pH meter broken",
