uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,elevation,elevationUncertainty,geodeticDatum,altLocation,altLatitude,altLongitude,altCoordinateUncertainty,altGeodeticDatum,collectDate,aquaticSiteType,samplingImpractical,waterChemSamplesCollected,parentSampleID,eventID,samplerType,dissolvedOxygen,dissolvedOxygenSaturation,specificConductance,waterTemp,swcSamplingProtocolVersion,lowerSegmentDepth,upperSegmentDepth,maxDepth,lakeSampleDepth1,lakeSampleDepth2,aCollectedBy,bCollectedBy,remarks,fieldDataQF
"e95d25f1-c4ab-4d81-8f0c-afff26c2019e","D19","CARI","CARI.AOS.S2",65.153080,-147.501997,1.1,10.0,225.7,1.0,"WGS84",,,,,,"2024-07-09T21:58Z","stream",,"Y","CARI.SS.20240709","CARI.20240709","Grab",13.50,105.00,53.90,3.50,"NEON.DOC.002905vJ",,,,,,"0009-0000-0654-6643","0009-0003-9380-2300",,
"fc39625b-549d-4990-ac90-4ca48c12365f","D19","CARI","CARI.AOS.S2",65.153080,-147.501997,1.1,10.0,225.7,1.0,"WGS84",,,,,,"2024-07-23T20:48Z","stream",,"Y","CARI.SS.20240723","CARI.20240723","Grab",12.10,102.00,69.00,6.80,"NEON.DOC.002905vJ",,,,,,"0000-0003-3756-1381","0000-0003-1651-3911",,
"87814608-d631-4221-97c6-5a94bfe257e4","D19","CARI","CARI.AOS.S2",65.153080,-147.501997,1.1,10.0,225.7,1.0,"WGS84",,,,,,"2024-07-30T19:50Z","stream",,"Y","CARI.SS.20240730","CARI.20240730","Grab",12.40,99.00,52.40,4.10,"NEON.DOC.002905vJ",,,,,,"0000-0003-1651-3911","0000-0003-1651-3911",,
