uid,domainID,siteID,namedLocation,collectDate,parentSampleID,sampleID,replicateNumber,processedDate,processedDateFilters,sampleVolumeFiltered,shipmentTimeRange,filtSampleCond,filtSampleID,filtSampleCode,filtNutSampleCond,filtNutSampleID,filtNutSampleBarcode,rawSampleCond,rawSampleID,rawSampleCode,rawNutSampleCond,rawNutSampleID,rawNutSampleBarcode,pcnSampleCond,pcnSampleID,pcnSampleCode,fieldDataQF,remarks
"61f5e549-b037-49d1-bb23-b0f84269906c","D16","MCRA","MCRA.AOS.S2","2021-11-16T21:22Z","MCRA.SS.20211116","MCRA.SS.20211116",1,"2021-11-16T23:08Z",,,"within 24 hours of collection","Sample condition ok","MCRA.SS.20211116.FIL","A00000291537","Sample condition ok","MCRA.SS.20211116.FIL.NUT","B00000055163","Sample condition ok","MCRA.SS.20211116.RAW","A00000291522","Sample condition ok","MCRA.SS.20211116.RAW.NUT","B00000055164",,,,,
"1c92bb61-5c86-43fe-b76c-7f103e972c9c","D16","MCRA","MCRA.AOS.S2","2021-11-22T20:54Z","MCRA.SS.20211122","MCRA.SS.20211122",1,"2021-11-22T23:07Z",,,"within 24 hours of collection","Sample condition ok","MCRA.SS.20211122.FIL","A00000291428","Sample condition ok","MCRA.SS.20211122.FIL.NUT","B00000055169","Sample condition ok","MCRA.SS.20211122.RAW","A00000291460","Sample condition ok","MCRA.SS.20211122.RAW.NUT","B00000055170",,,,,
"870c2ddf-31f6-406c-80d0-818f61b3d5e3","D16","MCRA","MCRA.AOS.S2","2021-11-30T16:48Z","MCRA.SS.20211130","MCRA.SS.20211130",1,"2021-11-30T17:46Z",,,"within 24 hours of collection","Sample condition ok","MCRA.SS.20211130.FIL","A00000291459","Sample condition ok","MCRA.SS.20211130.FIL.NUT","B00000055173","Sample condition ok","MCRA.SS.20211130.RAW","A00000291475","Sample condition ok","MCRA.SS.20211130.RAW.NUT","B00000055174",,,,,
