uid,domainID,siteID,namedLocation,collectDate,parentSampleID,sampleID,replicateNumber,processedDate,processedDateFilters,sampleVolumeFiltered,shipmentTimeRange,filtSampleCond,filtSampleID,filtSampleCode,filtNutSampleCond,filtNutSampleID,filtNutSampleBarcode,rawSampleCond,rawSampleID,rawSampleCode,rawNutSampleCond,rawNutSampleID,rawNutSampleBarcode,pcnSampleCond,pcnSampleID,pcnSampleCode,fieldDataQF,remarks
"6d34ab30-0fe1-463f-92d1-534475db8163","D06","KING","KING.AOS.S2","2021-05-10T17:02Z","KING.SS.20210510","KING.SS.20210510",1,"2021-05-10T18:20Z","2021-05-10T18:20Z",1500.0,"within 24 hours of collection","Sample condition ok","KING.SS.20210510.FIL","A00000210408","Sample condition ok","KING.SS.20210510.FIL.NUT","A00000210409","Sample condition ok","KING.SS.20210510.RAW","A00000210413","Sample condition ok","KING.SS.20210510.RAW.NUT","A00000210412",,,,,
"9114e740-8aa3-4c53-b470-3847e663b2e9","D06","KING","KING.AOS.S2","2021-05-12T14:09Z","KING.SS.20210512","KING.SS.20210512",1,"2021-05-12T17:29Z","2021-05-12T15:49Z",1000.0,"within 24 hours of collection","Sample condition ok","KING.SS.20210512.FIL","A00000210430","Sample condition ok","KING.SS.20210512.FIL.NUT","A00000210431","Sample condition ok","KING.SS.20210512.RAW","A00000210427","Sample condition ok","KING.SS.20210512.RAW.NUT","A00000210426",,,,,
"25a1053e-42d9-41bc-a6a3-2631f5558762","D06","KING","KING.AOS.S2","2021-05-24T17:13Z","KING.SS.20210524","KING.SS.20210524",1,"2021-05-24T19:26Z","2021-05-24T19:26Z",2000.0,"within 24 hours of collection","Sample condition ok","KING.SS.20210524.FIL","A00000210437","Sample condition ok","KING.SS.20210524.FIL.NUT","A00000210439","Sample condition ok","KING.SS.20210524.RAW","A00000210438","Sample condition ok","KING.SS.20210524.RAW.NUT","A00000210440",,,,,
