uid,laboratoryName,analyte,instrument,sopVersion,method,methodModification,methodDetectionLimit,analyteUnits,precision,precisionRepeatabilityUnits,absorbancePrecision,measurementUncertainty,measurementUncertaintyUnits,internalLabName,labSpecificStartDate,labSpecificEndDate
"6c7e6992-3f48-48a4-bac6-2b1100c9213b","EcoCore_CSU","TDS","oven, balance",,"conductivity",,0.100,"milligramsPerLiter",4.200,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06","2022-07-18"
"21bee8f0-2547-4ea4-adcc-cc8b8e9fbbd5","EcoCore_CSU","TDN","Shimadzu toc-L",,"combustion/chemoluminesence ASTM D8086-16",,0.035,"milligramsPerLiter",0.097,"Standard deviation of nominal value",,0.222,"95% CI of combined uncertainty","EcoCore, Colorado State University","2021-04-15","2022-02-24"
"be8a15c2-7d4c-419d-bbfd-5cf2b1127e12","EcoCore_CSU","Br","Thermo Scientific Dionex ICS-1100 IC",,"EPA 300.0",,0.010,"milligramsPerLiter",4.800,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06","2022-06-02"
"9ddeedbc-56df-4841-9cd5-534101ddda32","EcoCore_CSU","TPC","Leco Tru-Spec",,"Combustion/Dumas",,0.010,"milligram",0.009,"Standard deviation of nominal value",,0.032,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-06-15","2020-03-31"
"922e1448-e6b1-4547-bda0-620681adc58f","EcoCore_CSU","TPN","Leco Tru-Spec",,"Combustion/Dumas",,0.010,"milligram",0.002,"Standard deviation of nominal value",,0.007,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-06-15","2020-03-31"
"2c71b398-bb13-470c-9f2b-a45361086d7b","EcoCore_CSU","pH","Oakton PC2700",,"EPA 150.1",,0.010,"pH",0.051,"Standard deviation of nominal value",,5.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2023-02-28","2023-03-16"
"20fab24a-0f92-409e-85e2-a3b6640fce9d","EcoCore_CSU","TSS","oven, balance",,"EPA 160.2",,0.100,"milligramsPerLiter",4.200,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06","2022-06-01"
"0cd72a8b-0f4d-4a4a-8b89-24315634f5ec","EcoCore_CSU","NO3+NO2 - N","OI Analytical 3700 Automated Chemistry Analyzer",,"Cd reduction/sulfanilamide (EPA 353.2)",,0.027,"milligramsPerLiter",0.037,"Standard deviation of nominal value",,0.214,"95% CI of combined uncertainty","EcoCore, Colorado State University","2017-11-27","2019-07-03"
"b286b01c-2c6c-436b-bff7-36017c0af8e0","EcoCore_CSU","NO3+NO2 - N","OI flow solution IV with A0002670 cartridge",,"Cd reduction/sulfanilamide (EPA 353.2)",,0.050,"milligramsPerLiter",0.008,"Standard deviation of nominal value",,0.069,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-05-02","2018-06-07"
"50517a7b-634e-4f45-8c37-8d5a730cebc3","EcoCore_CSU","DIC","Shimadzu toc-L",,"Acidification/NDIR (NEMI 5310B)",,0.025,"milligramsPerLiter",0.067,"Standard deviation of nominal value",,0.348,"95% CI of combined uncertainty","EcoCore, Colorado State University","2021-04-15","2022-02-25"
"575342f7-1e32-4b65-96b0-8a3561f141b4","EcoCore_CSU","UV Absorbance (254 nm)","Tecan Infinite M200",,"Absorbance",,0.000,"absorbance units",,"% of 1/1000 OD","0.001203",1.000,"% of 1/1000 OD","EcoCore, Colorado State University","2023-07-20",
"5bb00cdb-ee25-4196-9d86-4a60300ed858","EcoCore_CSU","UV Absorbance (280 nm)","Tecan Infinite M200",,"Absorbance",,0.000,"absorbance units",,"% of 1/1000 OD","0.001239",1.000,"% of 1/1000 OD","EcoCore, Colorado State University","2023-07-20",
"8c79ea2e-eb25-4cfc-9471-150c56bb9648","EcoCore_CSU","Na","Perkin Elmer Optima 7300 DV ICP",,"EPA 200.5",,0.002,"milligramsPerLiter",1.220,"Standard deviation of nominal value",,7.858,"95% CI of combined uncertainty","Soil, Water and Plant Testing Laboratory, Colorado State University","2023-07-21",
"499b7bab-764c-4bed-ba4e-2ab49a56e52a","EcoCore_CSU","NH4 - N","OI Analytical 3700 Automated Chemistry Analyzer",,"Salicylate/nitroferricyanide (DIN 38406)",,0.004,"milligramsPerLiter",0.014,"Standard deviation of nominal value",,0.080,"95% CI of combined uncertainty","EcoCore, Colorado State University","2020-02-05","2021-03-31"
"66134cfa-a17f-4aff-862c-79236ee84b08","EcoCore_CSU","TPC","Leco Tru-Spec",,"Combustion/Dumas",,0.010,"milligram",5.000,"+/- % of nominal value at full scale",,12.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-06-15"
"3b8fe19e-2736-4927-812a-4e0b00fa8e28","EcoCore_CSU","TDP","Filters, dig. Block, ICP",,"EPA 365.3",,0.001,"milligramsPerLiter",4.200,"+/- % of nominal value at full scale",,8.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State Univeristy","2014-10-06","2020-03-20"
"a498c779-f152-4150-9738-4357e4a0cef6","EcoCore_CSU","Si","Perkin Elmer Optima 7300 DV ICP",,"EPA 200.5",,0.007,"milligramsPerLiter",0.275,"Standard deviation of nominal value",,0.348,"95% CI of combined uncertainty","Soil, Water and Plant Testing Laboratory, Colorado State University","2023-07-21",
"07c3b9fe-45bd-43eb-87a4-3ee62763c030","EcoCore_CSU","Si","Perkin Elmer Optima 7300 DV ICP",,"EPA 200.5",,0.001,"milligramsPerLiter",4.700,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06","2022-04-30"
"b1eae2de-78f5-463b-b45e-03db3ad1f5bd","EcoCore_CSU","TDN","Shimadzu toc-L",,"combustion/chemoluminesence ASTM D8086-16",,0.035,"milligramsPerLiter",0.097,"Standard deviation of nominal value",,0.222,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-05-28","2021-04-15"
"ece2deb2-0733-4cc2-b28b-e75f991b2e7f","EcoCore_CSU","pH","Oakton PC2700",,"EPA 150.1",,0.010,"pH",0.051,"Standard deviation of nominal value",,5.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2023-04-12",
"cef13955-6e21-42b7-a37c-e17c599ad0f0","EcoCore_CSU","DIC","Shimadzu toc-L",,"Acidification/NDIR (NEMI 5310B)",,0.086,"milligramsPerLiter",0.118,"Standard deviation of nominal value",,0.456,"95% CI of combined uncertainty","EcoCore, Colorado State University","2022-02-24","2023-07-19"
"639ec611-54d3-43c8-864c-9db42897c9f7","EcoCore_CSU","TOC","Shimadzu toc-L",,"Combustion/NDIR (EPA 415.3)",,0.100,"milligramsPerLiter",0.153,"Standard deviation of nominal value",,0.350,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-06-15","2019-05-28"
"8f60eaa5-889c-4866-aefe-a8e13ff01cf4","EcoCore_CSU","NO3+NO2 - N","OI Analytical 3700 Automated Chemistry Analyzer",,"Cd reduction/sulfanilamide (EPA 353.2)",,0.000,"milligramsPerLiter",0.008,"Standard deviation of nominal value",,0.073,"95% CI of combined uncertainty","EcoCore, Colorado State University","2020-02-05","2021-03-31"
