uid,domainID,siteID,namedLocation,collectDate,parentSampleID,sampleID,replicateNumber,processedDate,processedDateFilters,sampleVolumeFiltered,shipmentTimeRange,filtSampleCond,filtSampleID,filtSampleCode,filtNutSampleCond,filtNutSampleID,filtNutSampleBarcode,rawSampleCond,rawSampleID,rawSampleCode,rawNutSampleCond,rawNutSampleID,rawNutSampleBarcode,pcnSampleCond,pcnSampleID,pcnSampleCode,fieldDataQF,remarks
"23b3524d-7600-457e-b8b9-f8535052acdf","D06","KING","KING.AOS.S2","2015-08-04T13:25Z","KING.SS.20150804","KING.SS.20150804",,"2015-08-04T14:34Z","2015-08-04T14:34Z",800.0,,,"KING.SS.20150804.FIL",,,,,,"KING.SS.20150804.RAW",,,,,,"KING.SS.20150804.PCN",,,
"98080204-5a6d-400f-a2dc-25b0bb925cc1","D06","KING","KING.AOS.S2","2015-08-11T13:27Z","KING.SS.20150811","KING.SS.20150811",,"2015-08-11T14:03Z","2015-08-11T14:03Z",600.0,,,"KING.SS.20150811.FIL",,,,,,"KING.SS.20150811.RAW",,,,,,"KING.SS.20150811.PCN",,,
"6fbfe8a4-ce41-4563-b945-604ce360842f","D06","KING","KING.AOS.S2","2015-08-18T13:21Z","KING.SS.20150818","KING.SS.20150818",,"2015-08-18T15:31Z","2015-08-18T15:31Z",500.0,,,"KING.SS.20150818.FIL",,,,,,"KING.SS.20150818.RAW",,,,,,"KING.SS.20150818.PCN",,,
