uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"6ff47b75-11d6-42a4-bbed-6194aca7a1ff","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","K",1.3800,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"08cb4df4-e692-4a24-aed4-7d4b756990bf","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","NO3+NO2 - N",0.0490,"milligramsPerLiter",,"BDL",5.4,,0,"formatChange|legacyData","GOOD"
"f6f18064-6506-4d23-8603-bf26160115d2","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","F",0.0050,"milligramsPerLiter",,"BDL",5.4,,0,"formatChange|legacyData","GOOD"
"b0be3e5e-991d-4b36-ac1c-820a1ff3fb27","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","Ortho - P",0.4020,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"4de8daba-79ba-419b-a198-c8ac8ab22e0e","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","TDS",134.4000,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"9b28b040-7033-4c11-a418-bf7edc55fa87","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","Mg",2.0890,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"d30df42f-5f78-465d-8baa-47c7ccb5b12a","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.RAW",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","TN",0.1865,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"559ff78b-2f8a-49c3-9d14-9569cc2572f6","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0415,,,,5.4,,0,"formatChange|legacyData","GOOD"
"0549fc34-6451-4d91-a8a6-dd426261bc82","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","Mn",0.0390,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"925bc4a8-731d-44df-bd33-a2b99f9c579b","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.RAW",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","ANC",0.6020,"milliequivalentsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"8564a10b-d129-4ef0-9a89-301533acc5ee","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","DIC",2.6910,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"466cd434-a660-4b07-9797-428d57bcb35f","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","TDP",0.0160,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"873d3ade-05f8-49b3-893a-dff28663528c","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.RAW",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","TOC",2.1850,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"41a50fbc-5d24-463f-a669-5c5b5d26f7ff","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.RAW",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","TSS - Dry Mass",0.0050,"microgram",,"BDL",5.4,,0,"formatChange|legacyData","GOOD"
"16ec0a0b-6ebf-4348-aad2-ecb8de47e706","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161117.FIL",,"2016-11-17T14:40Z","2016-11-17T14:40Z","EcoCore_CSU","TDS",111.8000,"milligramsPerLiter",,,5.9,,0,"formatChange|legacyData","GOOD"
"b03f7b6c-6cbe-4362-8bd4-cca48356e358","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161117.FIL",,"2016-11-17T14:40Z","2016-11-17T14:40Z","EcoCore_CSU","Si",3.6200,"milligramsPerLiter",,,5.9,,0,"formatChange|legacyData","GOOD"
"96ee4af7-17a1-43d5-9bc2-712c70a06375","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161117.FIL",,"2016-11-17T14:40Z","2016-11-17T14:40Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0672,,,,5.9,,0,"formatChange|legacyData","GOOD"
"fae6b21f-8a49-44db-ab3b-835e47dcb622","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161117.FIL",,"2016-11-17T14:40Z","2016-11-17T14:40Z","EcoCore_CSU","UV Absorbance (254 nm)",0.1001,,,,5.9,,0,"formatChange|legacyData","GOOD"
"89276b04-fd78-4145-90f7-3b99f1b8c28b","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161117.FIL",,"2016-11-17T14:40Z","2016-11-17T14:40Z","EcoCore_CSU","Ca",5.5440,"milligramsPerLiter",,,5.9,,0,"formatChange|legacyData","GOOD"
"eb4d10ab-d18d-4e3b-9454-60665026f1c0","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161117.RAW",,"2016-11-17T14:40Z","2016-11-17T14:40Z","EcoCore_CSU","TOC",6.8960,"milligramsPerLiter",,,5.9,,0,"formatChange|legacyData","GOOD"
"9cd6d6f1-55e7-4320-9cc8-6d9b123f5a35","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161117.FIL",,"2016-11-17T14:40Z","2016-11-17T14:40Z","EcoCore_CSU","Cl",2.0300,"milligramsPerLiter",,,5.9,,0,"formatChange|legacyData","GOOD"
"280b5914-5a14-4019-8310-df8d56bac9c5","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161117.PCN",,"2016-11-17T14:40Z","2016-11-17T14:40Z","EcoCore_CSU","TPN",73.8166,"microgramsPerLiter",,,5.9,,0,"formatChange|legacyData","GOOD"
