uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"fd59f05f-08f6-48e4-a921-bfddc28cc606","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","Na",4.2850,"milligramsPerLiter","2023-05-23",,1.7,"Hold time exceeded | Sample frozen prior to analysis",0,,"Other"
"0835a864-fe51-465e-82bf-88ea4bf628e0","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","F",0.0050,"milligramsPerLiter",,"BDL",1.7,,0,,"Cold Chain Broken During Storage|Hold Time Exceeded"
"63bfa0aa-3613-410f-9b0e-7538226b87aa","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.POM.1","A00000161782","2020-08-11T12:50Z","2020-08-11T12:50Z","SIRFER Lab at University of Utah","TPC",2535.0533,"microgramsPerLiter",,,,,-1,,"OK"
"8c2a7e6a-efc6-43fa-bad7-44a0c9b483c4","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","Fe",,"milligramsPerLiter","2023-05-23","ND",1.7,"Hold time exceeded | Sample frozen prior to analysis",0,,"Other"
"e8f02305-1bb8-496b-81e8-e26c1d1c47b0","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.RAW","A00000161817","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","TSS - Dry Mass",,"microgram",,,1.7,,0,,"Cold Chain Broken"
"aa004f64-69df-4983-a558-46f6eff266dc","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.RAW","A00000161817","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","TSS",,"milligramsPerLiter",,,1.7,,0,,"Cold Chain Broken"
"77148ffc-63c9-44d1-a925-8f5796a92415","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","Ca",16.0330,"milligramsPerLiter","2023-05-23",,1.7,"Hold time exceeded | Sample frozen prior to analysis",0,,"Other"
"223a7e8f-ab8b-43e4-ae56-0c54ab6322b7","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","K",1.0300,"milligramsPerLiter","2023-05-23",,1.7,"Hold time exceeded | Sample frozen prior to analysis",0,,"Other"
"eb424117-8c57-43b0-b076-d3b78eba6bd1","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","TDS",,"milligramsPerLiter",,,1.7,,0,,"Cold Chain Broken"
"f63c756d-abe8-4270-b272-f819a5506260","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","SO4",2.7541,"milligramsPerLiter",,,1.7,,0,,"Cold Chain Broken During Storage|Hold Time Exceeded"
"1d53b96a-2946-4c33-a7f7-2dad631b0fa3","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.RAW.NUT","B00000019267","2020-08-11T12:50Z","2020-08-11T12:50Z","Florida International University","TP",0.1025,"milligramsPerLiter","2022-01-12",,-1.0,,0,,"OK"
"0927e2dd-9b00-4354-b8eb-fbc6fade7ba9","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","DIC",16.8900,"milligramsPerLiter",,,1.7,,0,,"OK"
"4e25ddf5-234f-49a4-98aa-0d9ef25cec8c","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.RAW","A00000161817","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","TOC",3.0910,"milligramsPerLiter",,,1.7,,0,,"OK"
"4c880653-e15e-4343-a2b3-d81b97a6574a","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","Mg",6.0950,"milligramsPerLiter","2023-05-23",,1.7,"Hold time exceeded | Sample frozen prior to analysis",0,,"Other"
"85fc4bc9-c2f2-4041-a0ac-9600c6a81059","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","Cl",2.5381,"milligramsPerLiter",,,1.7,,0,,"Cold Chain Broken During Storage|Hold Time Exceeded"
"d97b7304-4b9e-4085-a612-5ebcfd837c52","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.RAW","A00000161817","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","TN",0.4223,"milligramsPerLiter",,,1.7,,0,,"OK"
"4e39a925-8d2a-4f3b-be79-201f3ef4be16","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","UV Absorbance (254 nm)",0.1017,,,,1.7,,0,,"OK"
"2664b7a5-d013-4f35-952b-9f259376d956","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","Mn",,"milligramsPerLiter","2023-05-23","ND",1.7,"Hold time exceeded | Sample frozen prior to analysis",0,,"Other"
"0bd7c184-514c-4c0a-b32a-fedea0dbc369","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","Si",7.8290,"milligramsPerLiter","2023-05-23",,1.7,"Hold time exceeded | Sample frozen prior to analysis",0,,"Other"
"667f1217-e913-4c99-b0c7-e4a69a95cb4c","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","Br",0.1130,"milligramsPerLiter",,,1.7,,0,,"Cold Chain Broken During Storage|Hold Time Exceeded"
"2fcde1a4-1d20-4dbe-91ce-cc4de403f293","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0719,,,,1.7,,0,,"OK"
"60e0e400-5032-4852-bdb0-6dcaba37d839","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","TDN",0.3483,"milligramsPerLiter",,,1.7,,0,,"OK"
"900cd2fe-4f43-4ba3-90e1-700f2cbf693d","D02","POSE","POSE.AOS.S2","POSE.SS.20200811.FIL","A00000161497","2020-08-11T12:50Z","2020-08-11T12:50Z","EcoCore_CSU","DOC",2.5850,"milligramsPerLiter",,,1.7,,0,,"OK"
"f6f78486-080c-4fe4-ba22-2b9ac19a7f22","D02","POSE","POSE.AOS.S2","POSE.SS.20200825.FIL","A00000161500","2020-08-25T11:44Z","2020-08-25T11:44Z","EcoCore_CSU","SO4",2.5104,"milligramsPerLiter",,,4.3,,0,,"Cold Chain Broken During Storage|Hold Time Exceeded"
"cc61b277-4999-4e35-a660-06fedb84e2e2","D02","POSE","POSE.AOS.S2","POSE.SS.20200825.FIL","A00000161500","2020-08-25T11:44Z","2020-08-25T11:44Z","EcoCore_CSU","DIC",17.2600,"milligramsPerLiter",,,4.3,,0,,"OK"
"f5ce360f-2bbb-42aa-b1ea-48d015c1c957","D02","POSE","POSE.AOS.S2","POSE.SS.20200825.RAW","A00000161501","2020-08-25T11:44Z","2020-08-25T11:44Z","EcoCore_CSU","TOC",2.2350,"milligramsPerLiter",,,4.3,,0,,"OK"
"d9c56d1b-539b-43f8-873f-40be9544c5f6","D02","POSE","POSE.AOS.S2","POSE.SS.20200825.FIL","A00000161500","2020-08-25T11:44Z","2020-08-25T11:44Z","EcoCore_CSU","Si",13.8390,"milligramsPerLiter","2023-05-19",,4.3,"Hold time exceeded | Sample frozen prior to analysis",0,,"Other"
"d2b9e79b-8c5d-4294-9aaa-4171f26c975d","D02","POSE","POSE.AOS.S2","POSE.SS.20200825.FIL","A00000161500","2020-08-25T11:44Z","2020-08-25T11:44Z","EcoCore_CSU","Na",4.4230,"milligramsPerLiter","2023-05-19",,4.3,"Hold time exceeded | Sample frozen prior to analysis",0,,"Other"
"de6bb576-f196-4c5b-81a0-ee3ee2af0904","D02","POSE","POSE.AOS.S2","POSE.SS.20200825.FIL","A00000161500","2020-08-25T11:44Z","2020-08-25T11:44Z","EcoCore_CSU","Cl",2.5188,"milligramsPerLiter",,,4.3,,0,,"Cold Chain Broken During Storage|Hold Time Exceeded"
"780a4ac1-71ed-45d1-8673-f846050592df","D02","POSE","POSE.AOS.S2","POSE.SS.20200825.FIL.NUT","B00000019274","2020-08-25T11:44Z","2020-08-25T11:44Z","Florida International University","TDP",0.0458,"milligramsPerLiter","2022-03-11",,-1.0,,0,,"OK"
"0b8f3bab-af3c-4763-b228-df80e8af839b","D02","POSE","POSE.AOS.S2","POSE.SS.20200825.RAW","A00000161501","2020-08-25T11:44Z","2020-08-25T11:44Z","EcoCore_CSU","TSS - Dry Mass",,"microgram",,,4.3,,0,,"Cold Chain Broken"
"335f5d96-21e6-4260-b6e3-5793d79a5913","D02","POSE","POSE.AOS.S2","POSE.SS.20200825.FIL","A00000161500","2020-08-25T11:44Z","2020-08-25T11:44Z","EcoCore_CSU","K",2.4390,"milligramsPerLiter","2023-05-19",,4.3,"Hold time exceeded | Sample frozen prior to analysis",0,,"Other"
"1d989084-cf05-4709-9c4c-af4875d7462a","D02","POSE","POSE.AOS.S2","POSE.SS.20200825.FIL.NUT","B00000019274","2020-08-25T11:44Z","2020-08-25T11:44Z","Florida International University","NO3+NO2 - N",0.2175,"milligramsPerLiter","2022-02-08",,-1.0,,0,,"OK"
