uid,domainID,siteID,namedLocation,collectDate,parentSampleID,sampleID,replicateNumber,processedDate,processedDateFilters,sampleVolumeFiltered,shipmentTimeRange,filtSampleCond,filtSampleID,filtSampleCode,filtNutSampleCond,filtNutSampleID,filtNutSampleBarcode,rawSampleCond,rawSampleID,rawSampleCode,rawNutSampleCond,rawNutSampleID,rawNutSampleBarcode,pcnSampleCond,pcnSampleID,pcnSampleCode,fieldDataQF,remarks
"2f157174-8b83-4489-989e-6524a32f32e4","D11","PRIN","PRIN.AOS.S2","2021-05-03T15:47Z","PRIN.SS.20210503","PRIN.SS.20210503",1,"2021-05-03T18:09Z","2021-05-03T18:09Z",500.0,"within 24 hours of collection","Sample condition ok","PRIN.SS.20210503.FIL","A00000272371","Sample condition ok","PRIN.SS.20210503.FIL.NUT","B00000036591","Sample condition ok","PRIN.SS.20210503.RAW","A00000272520","Sample condition ok","PRIN.SS.20210503.RAW.NUT","B00000036590",,,,,
"87f75ed2-ebfa-4f8c-a1aa-dc8cacf0e3b1","D11","PRIN","PRIN.AOS.S2","2021-05-04T15:32Z","PRIN.SS.20210504","PRIN.SS.20210504",1,"2021-05-04T17:55Z","2021-05-04T17:28Z",500.0,"within 24 hours of collection","Sample condition ok","PRIN.SS.20210504.FIL","A00000272373","Sample condition ok","PRIN.SS.20210504.FIL.NUT","B00000036593","Sample condition ok","PRIN.SS.20210504.RAW","A00000272517","Sample condition ok","PRIN.SS.20210504.RAW.NUT","B00000036592",,,,,
"e1c26200-aaf7-43ef-84ad-c43cb246bcde","D11","PRIN","PRIN.AOS.S2","2021-05-10T15:49Z","PRIN.SS.20210510","PRIN.SS.20210510",1,"2021-05-10T18:12Z","2021-05-10T18:04Z",500.0,"within 24 hours of collection","Sample condition ok","PRIN.SS.20210510.FIL","A00000104967","Sample condition ok","PRIN.SS.20210510.FIL.NUT","B00000036597","Sample condition ok","PRIN.SS.20210510.RAW","A00000272354","Sample condition ok","PRIN.SS.20210510.RAW.NUT","B00000036596",,,,,
"2331ecb1-7a79-408c-8dce-2427a07e8eb3","D11","PRIN","PRIN.AOS.S2","2021-05-17T16:13Z","PRIN.SS.20210517","PRIN.SS.20210517",1,"2021-05-17T18:22Z","2021-05-17T18:30Z",400.0,"within 24 hours of collection","Sample condition ok","PRIN.SS.20210517.FIL","A00000104970","Sample condition ok","PRIN.SS.20210517.FIL.NUT","B00000036601","Sample condition ok","PRIN.SS.20210517.RAW","A00000105006","Sample condition ok","PRIN.SS.20210517.RAW.NUT","B00000036600",,,,,
"8c73f98f-c888-4374-8de8-fc26fe2348cb","D11","PRIN","PRIN.AOS.S2","2021-05-27T14:21Z","PRIN.SS.20210527","PRIN.SS.20210527",1,"2021-05-27T16:53Z","2021-05-27T16:53Z",400.0,"within 24 hours of collection","Sample condition ok","PRIN.SS.20210527.FIL","A00000105031","Sample condition ok","PRIN.SS.20210527.FIL.NUT","B00000036621","Sample condition ok","PRIN.SS.20210527.RAW","A00000105065","Sample condition ok","PRIN.SS.20210527.RAW.NUT","B00000036620",,,,,
