uid,domainID,siteID,namedLocation,collectDate,parentSampleID,sampleID,replicateNumber,processedDate,processedDateFilters,sampleVolumeFiltered,shipmentTimeRange,filtSampleCond,filtSampleID,filtSampleCode,filtNutSampleCond,filtNutSampleID,filtNutSampleBarcode,rawSampleCond,rawSampleID,rawSampleCode,rawNutSampleCond,rawNutSampleID,rawNutSampleBarcode,pcnSampleCond,pcnSampleID,pcnSampleCode,fieldDataQF,remarks
"582d2913-fb17-4212-b8b6-2a9f3071cb2f","D06","KING","KING.AOS.reach","2021-03-02T17:15Z","KING.RE.20210302","KING.RE.20210302",1,"2021-03-02T18:17Z","2021-03-02T18:17Z",1000.0,"within 24 hours of collection","Sample condition ok","KING.RE.20210302.FIL","A00000209713","Sample condition ok","KING.RE.20210302.FIL.NUT","A00000209711","Sample condition ok","KING.RE.20210302.RAW","A00000209712","Sample condition ok","KING.RE.20210302.RAW.NUT","A00000209710",,,,,
"f545f05b-d640-4a2b-b5c0-e76d0862102e","D06","KING","KING.AOS.reach","2021-03-09T16:40Z","KING.RE.20210309","KING.RE.20210309.2",2,"2021-03-09T18:40Z","2021-03-09T18:40Z",600.0,"within 24 hours of collection","Sample condition ok","KING.RE.20210309.FIL.2","A00000209824","Sample condition ok","KING.RE.20210309.FIL.NUT.2","A00000209827","Sample condition ok","KING.RE.20210309.RAW.2","A00000209825","Sample condition ok","KING.RE.20210309.RAW.NUT.2","A00000209826",,,,,
"feedb5a1-774c-4810-abbc-fb4d387c5da0","D06","KING","KING.AOS.reach","2021-03-09T16:40Z","KING.RE.20210309","KING.RE.20210309",1,"2021-03-09T18:34Z","2021-03-09T18:34Z",600.0,"within 24 hours of collection","Sample condition ok","KING.RE.20210309.FIL","A00000209723","Sample condition ok","KING.RE.20210309.FIL.NUT","A00000209823","Sample condition ok","KING.RE.20210309.RAW","A00000209821","Sample condition ok","KING.RE.20210309.RAW.NUT","A00000209822",,,,,
