uid,domainID,siteID,namedLocation,collectDate,parentSampleID,parentSampleCode,isotopePOMRep2SampleCond,isotopePOMRep2SampleID,isotopePOMRep2SampleCode,isotopePOMSampleCond,isotopePOMSampleID,isotopePOMSampleCode,processedDateFilters,sampleVolumeFilteredPOMRep1,sampleVolumeFilteredPOMRep2,fieldDataQF
"84b42da4-c088-4a34-b264-28e28c3518dd","D01","HOPB","HOPB.AOS.S2","2019-09-09T15:05Z","HOPB.SS.20190909",,"Sample condition ok","HOPB.SS.20190909.POM.2","A00000068184","Sample condition ok","HOPB.SS.20190909.POM.1","A00000068183","2019-09-09T17:17Z",500,500,
"daa00f87-d84f-47fa-aa09-3e56e20a2847","D01","HOPB","HOPB.AOS.S2","2019-09-24T13:37Z","HOPB.SS.20190924",,"Sample condition ok","HOPB.SS.20190924.POM.2","A00000126031","Sample condition ok","HOPB.SS.20190924.POM.1","A00000126030","2019-09-24T15:14Z",750,750,
