uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,elevation,elevationUncertainty,geodeticDatum,altLocation,altLatitude,altLongitude,altCoordinateUncertainty,altGeodeticDatum,collectDate,aquaticSiteType,samplingImpractical,waterChemSamplesCollected,parentSampleID,eventID,samplerType,dissolvedOxygen,dissolvedOxygenSaturation,specificConductance,waterTemp,swcSamplingProtocolVersion,lowerSegmentDepth,upperSegmentDepth,maxDepth,lakeSampleDepth1,lakeSampleDepth2,aCollectedBy,bCollectedBy,remarks,fieldDataQF
"5f1ba84c-9d8e-4fef-b8b6-4e2a620e9598","D01","HOPB","HOPB.AOS.S2",42.471741,-72.330664,1.0,10.0,213.6,1.0,"WGS84",,,,,,"2019-06-03T14:01Z","stream",,,"HOPB.SS.20190603","HOPB.20190603","Grab",9.48,92.40,94.70,12.90,"NEON.DOC.002905vF",,,,,,"0000-0002-8951-4934","0000-0003-4958-6412",,"suspectCalibration_DO"
"435fcea5-40a7-4e53-94c1-7ea876411437","D01","HOPB","HOPB.AOS.S2",42.471741,-72.330664,1.0,10.0,213.6,1.0,"WGS84",,,,,,"2019-06-24T13:20Z","stream",,,"HOPB.SS.20190624","HOPB.20190624","Grab",10.66,110.70,105.00,16.00,"NEON.DOC.002905vF",,,,,,"0000-0003-4958-6412","0000-0002-1541-5968",,
