uid,domainID,siteID,namedLocation,collectDate,parentSampleID,sampleID,replicateNumber,processedDate,processedDateFilters,sampleVolumeFiltered,shipmentTimeRange,filtSampleCond,filtSampleID,filtSampleCode,filtNutSampleCond,filtNutSampleID,filtNutSampleBarcode,rawSampleCond,rawSampleID,rawSampleCode,rawNutSampleCond,rawNutSampleID,rawNutSampleBarcode,pcnSampleCond,pcnSampleID,pcnSampleCode,fieldDataQF,remarks
"305c9231-4a1b-43ca-ab99-3a280d25be9e","D16","MCRA","MCRA.AOS.S2","2020-03-03T18:10Z","MCRA.SS.20200303","MCRA.SS.20200303",1,"2020-03-03T20:03Z",,1500.0,,"Sample condition ok","MCRA.SS.20200303.FIL","A00000107008",,,,"Sample condition ok","MCRA.SS.20200303.RAW","A00000107006",,,,,,,,
"38d1a78d-7c3d-4beb-ba8e-a1413da54f0e","D16","MCRA","MCRA.AOS.S2","2020-03-12T17:48Z","MCRA.SS.20200312","MCRA.SS.20200312.2",2,"2020-03-12T17:48Z","2020-03-12T17:48Z",1000.0,,"Sample condition ok","MCRA.SS.20200312.FIL.2","A00000107086",,,,"Sample condition ok","MCRA.SS.20200312.RAW.2","A00000107081",,,,,,,,
"5af84f14-7198-42f1-ae0c-39f58ac78fc0","D16","MCRA","MCRA.AOS.S2","2020-03-12T17:48Z","MCRA.SS.20200312","MCRA.SS.20200312.3",3,"2020-03-12T17:48Z","2020-03-12T17:48Z",1000.0,,"Sample condition ok","MCRA.SS.20200312.FIL.3","A00000107085",,,,"Sample condition ok","MCRA.SS.20200312.RAW.3","A00000107083",,,,,,,,
"e2e8e6ee-e260-4efa-8286-e781679fd263","D16","MCRA","MCRA.AOS.S2","2020-03-12T17:48Z","MCRA.SS.20200312","MCRA.SS.20200312",1,"2020-03-12T17:48Z","2020-03-12T17:48Z",1000.0,,"Sample condition ok","MCRA.SS.20200312.FIL","A00000107084",,,,"Sample condition ok","MCRA.SS.20200312.RAW","A00000107082",,,,,,,,
"0be85e62-86c3-47fe-ac00-3fdbf7225e8c","D16","MCRA","MCRA.AOS.S2","2020-03-17T18:02Z","MCRA.SS.20200317","MCRA.SS.20200317",1,"2020-03-17T20:11Z","2020-03-17T20:11Z",1500.0,,"Sample condition ok","MCRA.SS.20200317.FIL","A00000107099",,,,"Sample condition ok","MCRA.SS.20200317.RAW","A00000107100",,,,,,,,
