uid,domainID,siteID,namedLocation,collectDate,parentSampleID,parentSampleCode,isotopePOMRep2SampleCond,isotopePOMRep2SampleID,isotopePOMRep2SampleCode,isotopePOMSampleCond,isotopePOMSampleID,isotopePOMSampleCode,processedDateFilters,sampleVolumeFilteredPOMRep1,sampleVolumeFilteredPOMRep2,fieldDataQF
"e51831c6-6f5a-490e-9a28-71cb230ebdbc","D06","KING","KING.AOS.S2","2021-08-04T17:38Z","KING.SS.20210804",,"Sample condition ok","KING.SS.20210804.POM.2","A00000211260","Sample condition ok","KING.SS.20210804.POM.1","A00000317821",,1690,1690,
"159c88ab-182f-48c4-8c46-e2237d4809f8","D06","KING","KING.AOS.S2","2021-08-10T17:40Z","KING.SS.20210810",,"Sample condition ok","KING.SS.20210810.POM.2","A00000317862","Sample condition ok","KING.SS.20210810.POM.1","A00000317863","2021-08-10T20:32Z",855,855,
