uid,domainID,siteID,namedLocation,collectDate,parentSampleID,sampleID,replicateNumber,processedDate,processedDateFilters,sampleVolumeFiltered,shipmentTimeRange,filtSampleCond,filtSampleID,filtSampleCode,filtNutSampleCond,filtNutSampleID,filtNutSampleBarcode,rawSampleCond,rawSampleID,rawSampleCode,rawNutSampleCond,rawNutSampleID,rawNutSampleBarcode,pcnSampleCond,pcnSampleID,pcnSampleCode,fieldDataQF,remarks
"58cdd62e-b4f0-44c4-80f3-daa06131eeee","D19","CARI","CARI.AOS.S2","2023-10-03T22:00Z","CARI.SS.20231003","CARI.SS.20231003",1,"2023-10-04T00:35Z",,,"within 24 hours of collection","Sample condition ok","CARI.SS.20231003.FIL","A00000429918","Sample condition ok","CARI.SS.20231003.FIL.NUT","B00000171077","Sample condition ok","CARI.SS.20231003.RAW","A00000429919","Sample condition ok","CARI.SS.20231003.RAW.NUT","B00000171078",,,,,
"b5c81700-243f-40f8-a3e9-76deac3cd492","D19","CARI","CARI.AOS.S2","2023-10-10T22:21Z","CARI.SS.20231010","CARI.SS.20231010",1,"2023-10-11T00:22Z",,,"within 24 hours of collection","Sample condition ok","CARI.SS.20231010.FIL","A00000429926","Sample condition ok","CARI.SS.20231010.FIL.NUT","B00000171071","Sample condition ok","CARI.SS.20231010.RAW","A00000429927","Sample condition ok","CARI.SS.20231010.RAW.NUT","B00000171072",,,,,
"ba141eee-4d59-454d-b0a0-6de4e7ae67df","D19","CARI","CARI.AOS.S2","2023-10-31T18:46Z","CARI.SS.20231031","CARI.SS.20231031",1,"2023-10-31T21:38Z",,,"within 24 hours of collection","Sample condition ok","CARI.SS.20231031.FIL","A00000429911","Sample condition ok","CARI.SS.20231031.FIL.NUT","B00000171089","Sample condition ok","CARI.SS.20231031.RAW","A00000429912","Sample condition ok","CARI.SS.20231031.RAW.NUT","B00000171088",,,,,
