uid,domainID,siteID,namedLocation,collectDate,parentSampleID,parentSampleCode,isotopePOMRep2SampleCond,isotopePOMRep2SampleID,isotopePOMRep2SampleCode,isotopePOMSampleCond,isotopePOMSampleID,isotopePOMSampleCode,processedDateFilters,sampleVolumeFilteredPOMRep1,sampleVolumeFilteredPOMRep2,fieldDataQF
"2d3e5d07-0ec6-4450-8e02-f105096ed828","D16","MCRA","MCRA.AOS.S2","2018-05-01T16:10Z","MCRA.SS.20180501",,"Sample condition ok","MCRA.SS.20180501.POM.2","A00000024137","Sample condition ok","MCRA.SS.20180501.POM.1","A00000024139","2018-05-01T19:01Z",1500,1500,
"08df999a-3629-4311-a258-cd6f855942c2","D16","MCRA","MCRA.AOS.S2","2018-05-16T15:39Z","MCRA.SS.20180516",,"Sample condition ok","MCRA.SS.20180516.POM.2","A00000024196","Sample condition ok","MCRA.SS.20180516.POM.1","A00000024162","2018-05-16T16:51Z",1500,1500,
"57bfa914-b52d-4d5e-97e2-b172e085ebf9","D16","MCRA","MCRA.AOS.S2","2018-05-22T17:50Z","MCRA.SS.20180522",,"Sample condition ok","MCRA.SS.20180522.POM.2","A00000024609","Sample condition ok","MCRA.SS.20180522.POM.1","A00000024592","2018-05-22T17:50Z",1500,1500,
