uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"71a6f208-71ab-4132-b9ec-42db6c164094","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20200128.FIL","A00000106799","2020-01-28T18:27Z","2020-01-28T18:27Z","EcoCore_CSU","Na",10.2170,"milligramsPerLiter",,,4.0,,0,,"OK"
"79741b5f-0a14-4652-9155-147061d1dfe7","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20200128.RAW","A00000106798","2020-01-28T18:27Z","2020-01-28T18:27Z","EcoCore_CSU","TP",0.0630,"milligramsPerLiter",,,4.0,,0,,"OK"
"59430ee9-8891-4285-add2-f2a23a93cb15","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20200128.FIL","A00000106799","2020-01-28T18:27Z","2020-01-28T18:27Z","EcoCore_CSU","Fe",0.0005,"milligramsPerLiter",,"BDL",4.0,,0,,"OK"
"51af6b39-897c-4206-b8a3-057ee1af4b34","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20200128.FIL","A00000106799","2020-01-28T18:27Z","2020-01-28T18:27Z","EcoCore_CSU","F",0.0050,"milligramsPerLiter",,"BDL",4.0,,0,,"OK"
"3cbf26d9-98c3-46a6-8e97-10d3a57419da","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20200128.POM.1","A00000106795","2020-01-28T18:27Z","2020-01-28T18:27Z","SIRFER Lab at University of Utah","TPC",256.5838,"microgramsPerLiter",,,,,-1,,"OK"
"6363c960-a58b-47c2-aa6b-cdf0f1459fdb","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20200128.FIL","A00000106799","2020-01-28T18:27Z","2020-01-28T18:27Z","EcoCore_CSU","TDN",0.1325,"milligramsPerLiter",,,4.0,,0,,"OK"
"647d6790-2aad-42a2-bc10-22f27b7af234","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20200128.FIL","A00000106799","2020-01-28T18:27Z","2020-01-28T18:27Z","EcoCore_CSU","DOC",1.0690,"milligramsPerLiter",,,4.0,,0,,"OK"
"32d6bca7-9b42-423e-980c-aa0f482fdb91","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20200128.RAW","A00000106798","2020-01-28T18:27Z","2020-01-28T18:27Z","EcoCore_CSU","TSS",,"milligramsPerLiter",,"ND",4.0,,0,,"OK"
"7d373445-a209-4a59-a41c-dfded391b069","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20200128.FIL","A00000106799","2020-01-28T18:27Z","2020-01-28T18:27Z","EcoCore_CSU","SO4",13.6700,"milligramsPerLiter",,,4.0,,0,,"OK"
"2a7021d9-4a39-478d-b947-6641cb957e28","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20200128.FIL","A00000106799","2020-01-28T18:27Z","2020-01-28T18:27Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0058,,,,4.0,,0,,"OK"
"a194c689-12b6-4ab1-88b5-19a6121c53e5","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20200128.RAW","A00000106798","2020-01-28T18:27Z","2020-01-28T18:27Z","EcoCore_CSU","TOC",1.2000,"milligramsPerLiter",,,4.0,,0,,"OK"
"9df6e7cd-288c-4a59-836e-19f17be6da2e","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20200128.FIL","A00000106799","2020-01-28T18:27Z","2020-01-28T18:27Z","EcoCore_CSU","UV Absorbance (254 nm)",0.0107,,,,4.0,,0,,"OK"
